2026-02-26 08:46:26,148 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-02-26 08:46:26,149 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-02-26 08:46:26,150 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-02-26 08:46:27,588 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-02-26 08:46:27,588 | INFO | [INICIO]: Backup de Flujo NiFi
2026-02-26 08:46:27,821 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-02-26 08:46:27,822 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-02-26 08:46:27,822 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-02-26 08:46:27,822 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-02-26 08:46:27,825 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-02-26 08:46:28,665 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-02-26 08:46:28,666 | INFO | [INICIO]: Backup de Flujo NiFi
2026-02-26 08:46:28,966 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-02-26 08:46:28,966 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-02-26 08:46:28,966 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-02-26 08:46:28,966 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-02-26 08:46:28,967 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-03-02 17:07:40,257 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-03-02 17:07:40,259 | INFO | [INICIO]: Backup de Flujo NiFi
2026-03-02 17:07:40,463 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-03-02 17:07:40,463 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-03-02 17:07:40,463 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-03-02 17:07:40,463 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-03-02 17:07:40,464 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-03-02 17:10:42,863 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-03-02 17:10:42,864 | INFO | [INICIO]: Backup de Flujo NiFi
